id,codigo_act,tipoCenCom,nom_CenCom,tipoUniEco
8320509,115111,,,Fijo
8838283,112519,,,Fijo
6166487,112514,,,Fijo
8346295,115113,,,Fijo
9323240,115113,,,Fijo
6166344,114119,,,Fijo
9938978,115111,EDIFICIO COMERCIAL Y DE SERVICIOS,ESPACIO 406,Fijo
10676525,115111,,,Fijo
6166273,114119,,,Fijo
10399786,115112,,,Fijo
11650226,115113,,,Fijo
6762603,114119,,,Fijo
8130649,115119,,,Fijo
6166311,114119,,,Fijo
8345681,115111,,,Fijo
8901346,114119,,,Fijo
9045957,114113,,,Fijo
9401810,112516,,,Fijo
11032940,115111,EDIFICIO COMERCIAL Y DE SERVICIOS,ESPACIO 406,Fijo
9585470,115111,,,Fijo
7633673,115119,,,Fijo
6726612,115119,,,Fijo
6752874,112519,,,Fijo
6166503,112519,,,Fijo
8901366,114119,,,Fijo
6166471,114119,,,Fijo
11126552,115111,,,Fijo
6184309,114111,,,Fijo
10660943,115111,,,Fijo
10319698,114119,,,Fijo
10313174,115111,,,Fijo
10757021,112516,,,Fijo
9045986,114119,,,Fijo
6166434,112519,,,Fijo
9338118,115119,,,Fijo
10810400,115111,EDIFICIO COMERCIAL Y DE SERVICIOS,SPASIOS WORKSPACE,Fijo
6166287,114119,,,Fijo
6283195,115112,,,Fijo
6166387,114119,,,Fijo
6166490,114111,,,Fijo
128060,115113,,,Fijo
9306801,114113,,,Fijo
8789503,114113,,,Fijo
9720454,114112,,,Fijo
7005046,115113,,,Fijo
6166461,114119,,,Fijo
6166464,114119,,,Fijo
11384086,115113,,,Fijo
10627679,115111,,,Fijo
6166327,114119,,,Fijo
9577027,115113,,,Fijo
10553649,115113,,,Fijo
9435972,115113,,,Fijo
9223515,115113,,,Fijo
8789612,114119,,,Fijo
8838347,114119,,,Fijo
8251137,114119,,,Fijo
10668992,114119,,,Fijo
123184,115119,,,Fijo
9439358,114119,,,Fijo
7863369,114119,,,Fijo
9499001,115210,,,Fijo
9046053,114113,CENTRO Y PLAZA COMERCIAL,PLAZA DUGAR,Fijo
6166426,114119,,,Fijo
6166473,114119,,,Fijo
6166370,114119,,,Fijo
6166371,114119,,,Fijo
6166308,114119,,,Fijo
100510,115111,,,Fijo
6166298,114119,CENTRO Y PLAZA COMERCIAL,PLAZA RUIZ,Fijo
10460175,114119,,,Fijo
10445441,115119,,,Fijo
6166454,114119,,,Fijo
9450263,112515,,,Fijo
9045843,114119,,,Fijo
6166452,114119,,,Fijo
6166268,114119,,,Fijo
9223506,114119,,,Fijo
6739928,114119,,,Fijo
8853688,114119,,,Fijo
10386036,115111,,,Fijo
6166459,114119,,,Fijo
8901388,114119,,,Fijo
6740777,112519,,,Fijo
6166411,112519,,,Fijo
7863371,112519,,,Fijo
9045932,114119,,,Fijo
8704365,114119,,,Fijo
100528,115119,,,Fijo
8696208,114119,,,Fijo
9046026,114119,,,Fijo
9046042,114119,,,Fijo
6166272,114112,,,Fijo
8011869,114119,,,Fijo
9223512,114119,,,Fijo
9223507,114119,,,Fijo
8011851,114112,,,Fijo
10162087,114119,,,Fijo
10809414,114119,,,Fijo
9046109,114119,,,Fijo
9046154,114119,,,Fijo
6166317,114119,,,Fijo
6166318,114119,,,Fijo
9046129,114119,,,Fijo
6166380,114119,,,Fijo
6166425,114119,,,Fijo
6188995,114119,,,Fijo
8983348,114119,,,Fijo
7863322,114119,,,Fijo
6166467,114119,,,Fijo
9046067,114119,,,Fijo
7863331,114119,,,Fijo
8011829,114119,,,Fijo
6166407,114119,,,Fijo
6708635,114119,,,Fijo
6166458,114119,,,Fijo
9045977,114119,,,Fijo
7863288,114119,,,Fijo
9045965,114119,,,Fijo
6724646,114119,,,Fijo
6166373,114119,,,Fijo
6166391,114119,,,Fijo
8161698,114119,,,Fijo
6166402,114119,,,Fijo
6166403,114119,,,Fijo
6166396,114119,,,Fijo
6166416,114119,,,Fijo
6166390,114119,,,Fijo
6166393,114119,,,Fijo
9223508,114119,,,Fijo
6166319,114119,,,Fijo
6166323,114119,,,Fijo
6166400,114119,,,Fijo
6166348,114119,,,Fijo
6166378,114119,,,Fijo
6166384,114119,,,Fijo
9045849,114119,,,Fijo
9419139,114119,,,Fijo
9430471,114119,,,Fijo
8704368,114119,,,Fijo
9045926,114119,,,Fijo
9045928,114119,,,Fijo
6166447,114119,,,Fijo
6166362,114119,,,Fijo
6166418,114119,,,Fijo
9046126,114119,,,Fijo
6166457,114119,,,Fijo
6166341,114119,,,Fijo
6166352,114119,,,Fijo
9046018,114119,,,Fijo
9046142,114119,,,Fijo
6166511,114119,,,Fijo
6166369,114119,,,Fijo
6166335,114119,,,Fijo
6166339,114119,,,Fijo
6166477,114119,,,Fijo
6166351,114119,,,Fijo
6166337,114119,,,Fijo
6166469,114119,,,Fijo
6166299,114119,,,Fijo
6166401,114119,,,Fijo
6166420,114119,,,Fijo
6166398,114119,,,Fijo
6166410,114119,,,Fijo
7863380,114119,,,Fijo
9045924,114119,,,Fijo
9045968,114119,,,Fijo
6166312,114119,,,Fijo
7889003,114119,,,Fijo
6166338,114119,,,Fijo
9045989,114111,,,Fijo
6166254,114113,,,Fijo
6166282,114119,,,Fijo
6166265,114113,CENTRO Y PLAZA COMERCIAL,CENTRO Y PLAZA COMERCIAL SIN NOMBRE,Fijo
8161732,114119,,,Fijo
6166476,114119,,,Fijo
6800280,114119,,,Fijo
9276519,114119,,,Fijo
6166269,114119,CENTRO Y PLAZA COMERCIAL,PLAZA DELFINES,Fijo
6166303,114113,,,Fijo
