codigo_act,nombre_act,cve_ent,entidad
115111,Servicios de fumigación agrícola,2,Baja California
112519,Otra acuicultura,2,Baja California
112514,Camaronicultura y acuicultura de otros crustáceos en agua dulce,2,Baja California
115113,Beneficio de productos agrícolas,2,Baja California
114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",2,Baja California
115112,Despepite de algodón,2,Baja California
115119,Otros servicios relacionados con la agricultura,2,Baja California
114113,Pesca de sardina y anchoveta,2,Baja California
112516,Piscicultura en agua salada,2,Baja California
114111,Pesca de camarón,2,Baja California
114112,Pesca de túnidos,2,Baja California
115210,Servicios relacionados con la cría y explotación de animales,2,Baja California
112515,Piscicultura en agua dulce,2,Baja California
112513,Camaronicultura y acuicultura de otros crustáceos en agua salada,2,Baja California
212321,Minería de arena y grava para la construcción,2,Baja California
212232,Minería de plomo y zinc,2,Baja California
212311,Minería de piedra caliza,2,Baja California
212210,Minería de hierro,2,Baja California
212391,Minería de sal,2,Baja California
212110,Minería de carbón mineral,2,Baja California
212221,Minería de oro,2,Baja California
212319,Minería de otras piedras dimensionadas,2,Baja California
213119,Otros servicios relacionados con la minería,2,Baja California
221122,Distribución de energía eléctrica,2,Baja California
221311,"Captación, tratamiento y suministro de agua realizados por el sector privado",2,Baja California
221312,"Captación, tratamiento y suministro de agua realizados por el sector público",2,Baja California
221123,Comercialización de energía eléctrica,2,Baja California
221111,Generación de electricidad a partir de combustibles fósiles,2,Baja California
221121,Transmisión de energía eléctrica,2,Baja California
221114,Generación de electricidad a partir de energía eólica,2,Baja California
221210,Suministro de gas natural por ductos al consumidor final,2,Baja California
236211,"Edificación de naves y plantas industriales, excepto la supervisión",2,Baja California
236112,Edificación de vivienda multifamiliar,2,Baja California
238210,Instalaciones eléctricas en construcciones,2,Baja California
238130,Trabajos de albañilería,2,Baja California
236111,Edificación de vivienda unifamiliar,2,Baja California
236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión",2,Baja California
236222,Supervisión de edificación de inmuebles comerciales y de servicios,2,Baja California
236113,Supervisión de edificación residencial,2,Baja California
238222,Instalaciones de sistemas centrales de aire acondicionado y calefacción,2,Baja California
238311,Colocación de muros falsos y aislamiento,2,Baja California
238990,Otros trabajos especializados para la construcción,2,Baja California
237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje",2,Baja California
237212,Construcción de obras de urbanización,2,Baja California
238910,Preparación de terrenos para la construcción,2,Baja California
238122,Montaje de estructuras de acero prefabricadas,2,Baja California
237312,"Construcción de carreteras, puentes y similares",2,Baja California
237311,Instalación de señalamientos y protecciones en obras viales,2,Baja California
238190,Otros trabajos en exteriores,2,Baja California
237211,División de terrenos,2,Baja California
238390,Otros trabajos de acabados en edificaciones,2,Baja California
